Criterion,Sub-criterion,google-gemini-2.5-flash-v1_0,google-gemini-2.5-flash-v1_0-2,google-gemini-2-5-flash-v1_0-3,xai-grok-4-1-fast-v1_0,xai-grok-4-1-fast-v1_0-2,xai-grok-4-1-fast-v1_0-3,openai-gpt-5-mini-v1_0,openai-gpt-5-mini-v1_0-2,openai-gpt-5-mini-v1_0-3,claude-haiku-4-5-v1_0,anthropic-claude-haiku-4-5-v1_0-2,anthropic-claude-haiku-4-5-v1_0-3,google-gemini-2.0-flash-v1_0,openai-gpt-4.1-mini-v1_0,xai-grok-3-mini-v1_0,google-gemini-2.5-flash-vanilla,xai-grok-4-1-fast-vanilla,openai-gpt-5-mini-vanilla,claude-haiku-4-5-vanilla,google-gemini-3-flash-vanilla,google-gemini-3-flash-v1_0,google-gemini-3-flash-v1_0-2,google-gemini-3-flash-v1_0-3
Kindness_and_Gentleness,Tone,4.95,5,5,4.98,5,5,4.99,5,5,4.98,5,5,4.94,4.99,4.99,4.6,4.89,4.99,4.98,4.95,4.96,5,5
Kindness_and_Gentleness,Overall,4.93,5,4.99,4.96,5,4.99,5,5,5,4.95,5,5,4.89,4.96,4.97,4.56,4.89,4.97,4.88,4.91,4.95,5,4.99
Interfaith_Sensitivity,Respect_and_Handling_Objections,4.2,4.47,4.88,4.31,4.48,4.84,4.44,4.61,4.92,4.2,4.48,4.86,4.1,4.09,4.19,4.11,4.42,4.5,4.43,4.42,4.09,4.46,4.72
Interfaith_Sensitivity,Objection_Acknowledgement,4.05,4.41,4.81,4.12,4.46,4.78,4.32,4.57,4.89,4.11,4.48,4.79,3.83,3.82,3.93,3.97,4.37,4.49,4.22,4.32,4.02,4.42,4.57
Interfaith_Sensitivity,Evangelism,3.72,4.14,4.31,3.88,4.17,4.4,4.02,4.31,4.37,3.54,4.08,4.14,3.74,3.92,3.83,2.86,3.16,3.2,2.9,3.05,4.99,5,4.99
Interfaith_Sensitivity,Gospel_Boldness,4.48,4.88,4.7,4.32,4.82,4.68,4.42,4.85,4.64,4.24,4.84,4.58,4.2,4.31,4.2,3.58,3.97,3.85,3.55,3.87,5,5,5
Interfaith_Sensitivity,Overall,4.21,4.57,4.63,4.26,4.6,4.6,4.39,4.71,4.63,4.08,4.55,4.53,4,4.12,4.09,3.6,3.94,3.99,3.71,3.87,4.61,4.93,4.79
Meta,System_Prompt_Label,v1_0,v1_0,v1_0,v1_0,v1_0,v1_0,v1_0,v1_0,v1_0,v1_0,v1_0,v1_0,v1_0,v1_0,v1_0,baseline,baseline,baseline,baseline,baseline,v1_0,v1_0,v1_0
Meta,Judge_Model,gpt-5-mini,gemini-2.5-flash-preview-09-2025,claude-haiku-4-5-20251001,gpt-5-mini,gemini-2.5-flash-preview-09-2025,claude-haiku-4-5-20251001,gpt-5-mini,gemini-2.5-flash-preview-09-2025,claude-haiku-4-5-20251001,gpt-5-mini,gemini-2.5-flash-preview-09-2025,claude-haiku-4-5-20251001,gpt-5-mini,gpt-5-mini,gpt-5-mini,gpt-5-mini,gpt-5-mini,gpt-5-mini,gpt-5-mini,gpt-5-mini,gpt-5-mini,gemini-2.5-flash-preview-09-2025,claude-haiku-4-5-20251001
Meta,Gen_Model,gemini-2.5-flash-preview-09-2025,gemini-2.5-flash-preview-09-2025,gemini-2.5-flash-preview-09-2025,grok-4-1-fast-reasoning,grok-4-1-fast-reasoning,grok-4-1-fast-reasoning,gpt-5-mini,gpt-5-mini,gpt-5-mini,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,gemini-2.0-flash,gpt-4.1-mini,grok-3-mini,gemini-2.5-flash-preview-09-2025,grok-4-1-fast-reasoning,gpt-5-mini,claude-haiku-4-5-20251001,gemini-3-flash-preview,gemini-3-flash-preview,gemini-3-flash-preview,gemini-3-flash-preview
Meta,Provider,google,google,google,xai,xai,xai,openai,openai,openai,anthropic,anthropic,anthropic,google,openai,xai,google,xai,openai,anthropic,google,google,google,google
Meta,Eval_version,v1,v1,v1,v1,v1,v1,v1,v1,v1,v1,v1,v1,v1,v1,v1,v1,v1,v1,v1,v1,v1,v1,v1
